"Title";"Bedrooms";"Bathrooms";"Floor_no";"Occupancy_status";"Floor_area";"City";"price_in_taka";"Location";"price_per_sqft"
"1130 SQ FT FLAT FOR SALE IN BASHUNDHARA RIVERVIEW, KERANIGANJ";2;2;6;"VACANT";1130;"DHAKA";5800000;"SOUTH KERANIGANJ, KERANIGANJ";5132.7434
"1149 SQ FT SUITABLE APARTMENT FOR SALE IN 4 NO CHANDGAON WARD";3;3;3;"VACANT";1149;"CHATTOGRAM";7500000;"CHANDGAON RESIDENTIAL AREA, 4 NO CHANDGAON WARD";6527.4151
"1150 SQ FEET FLAT FOR SALE CLOSE TO DARUSSALAM GOVERNMENT PRIMARY SCHOOL";3;3;2;"VACANT";1150;"DHAKA";5750000;"DARUSSALAM, MIRPUR";5000.0
"1150 SQ FT APARTMENT IS READY FOR SALE IN DHANMONDI";3;3;3;"VACANT";1150;"DHAKA";9500000;"SHUKRABAD, DHANMONDI";8260.8696
"1150 SQ FT APARTMENT WITH 3 BEDROOMS IS READY FOR SALE IN MIRPUR-11";3;3;4;"VACANT";1150;"DHAKA";7000000;"SECTION 11, MIRPUR";6086.9565
"1150 SQ FT APARTMENT WITH SERENE VIEWS IS UP FOR SALE IN MIDDLE MONIPUR, MIRPUR";3;2;7;"VACANT";1150;"DHAKA";6500000;"MIDDLE MONIPUR, MIRPUR";5652.1739
"1150 SQ FT RESIDENTIAL PROPERTY IS FOR SALE IN 9 NO. NORTH PAHARTALI WARD";3;3;2;"VACANT";1150;"CHATTOGRAM";7500000;"KHULSHI GARDEN VIEW HOUSING SOCIETY, 9 NO. NORTH PAHARTALI WARD";6521.7391
"1150 SQ.FT APARTMENT IS AVAILABLE FOR SALE IN WEST MANIKDI WHICH IS TAILORED TO YOUR HIGHEST STANDARDS";3;3;7;"VACANT";1150;"DHAKA";6700000;"MANIKDI, CANTONMENT";5826.087
"1150 SQUARE FEET AND 2 BEDROOM FLAT IS FOR SALE AT PAHARTALI";2;2;4;"VACANT";1150;"CHATTOGRAM";4600000;"12 NO. SARAI PARA WARD, DOUBLE MOORING";4000.0
"1156 SQ FT APARTMENT IS AVAILABLE FOR SALE IN UTTAR BADDA";3;3;5;"VACANT";1156;"DHAKA";6800000;"UTTAR BADDA, BADDA";5882.3529
